year,prcptot
1981,975.8637005376702
1982,899.5363220897207
1983,729.0894383456682
1984,904.6221094329866
1985,1195.2788747282323
1986,1013.4174303460094
1987,661.4698392651351
1988,958.0650731912938
1989,1164.1272586608497
1990,812.1558658190066
1991,791.8835154564366
1992,629.7179949001006
1993,902.6081856659437
1994,668.1705873283611
1995,691.2125896284754
1996,981.6222606629403
1997,1353.1729963572304
1998,930.4306021342031
1999,996.3789593859132
2000,1065.7797723639317
2001,1175.6683512465415
2002,650.1157687472703
2003,877.7182789557386
2004,1009.424818844531
2005,676.048005464516
2006,950.7381937855018
2007,1105.3479778371313
2008,770.9102975216846
2009,1043.5577348502334
2010,1083.3878766224984
2011,832.8721607247394
2012,945.7668538212242
2013,827.5056512572714
2014,940.2597283023713
2015,881.2745275613355
2016,733.9088515572929
2017,1147.7054709984216
2018,890.1189509153769
2019,955.3716540503923
2020,783.6930733096272
2021,847.929171931454
2022,1108.0045008265758
2023,986.2154358204726
2024,628.288732522867
2025,1263.6886057588003
2026,581.3706379059514
