district,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
Angonia,984.6518641197506,1127.856407702333,914.4887332247783,1139.3847842345783,1186.7462156511465,1059.9116047013943,896.2420423776442,1090.7877603748723,1237.4423418329675,882.7351393225513,1074.8312369576977,755.0202598369345,1048.3680262760176,771.8223367835151,685.1291645452791,1108.1214545526525,1444.7365642528014,934.3978234893198,992.9391520116212,1145.7583870265755,1269.9389885134524,1022.2365451094404,1243.0334265662013,1239.7418879798058,695.9034474067171,1198.7235275663431,1110.8783600200886,849.6672799052785,1006.6298349755465,1184.3689847349551,897.5876794543135,1224.6456229699327,1036.6121449937073,1051.795621627906,1128.995022237807,920.024876023867,1223.268361146,1075.5518158862246,1210.0293692226867,853.8029682783631,1090.831894656997,1511.4576234440865,1276.6338502027174,868.5761566383023,1492.0191659717302,889.7721445650732
Cahora Bassa,798.31423091531,718.6376846114312,542.3758702745622,640.3143857531489,1064.495080900213,850.396448464975,493.8198401347769,721.1375857730202,891.8421870255096,682.681268851783,651.9533778891923,507.54163068671653,708.1810049729369,525.6488672654191,596.9846853146737,839.1810909686919,1269.693914222677,729.4920286274355,717.9048949337091,943.4429434518358,1039.8488390279267,482.7665787818781,792.2927539209543,841.2005277243459,588.15427627616,705.1145622557891,861.0427473268401,580.9501087290437,830.1107036237347,883.433125107761,651.5601985379111,649.5035510771036,607.3130911387904,798.9334172010977,799.2580134604689,493.2021882023748,1010.6788486380209,682.7513472914119,759.8116537409429,614.9205291649914,608.989433353025,968.292239239142,756.1505790405631,526.7005863581496,1118.3017707235845,419.35042965764376
Changara,747.9026112317465,654.1757022761182,498.2382474091751,649.7556935391024,1010.9074959215015,739.9229034898578,478.37853282167487,698.7240934315903,907.0044206386677,615.6573459402748,601.5301697807076,392.47457461965234,665.110023273628,525.4032035725695,566.1261981109967,707.3127461137866,1201.5008203837317,751.5364226517602,681.3520594310022,933.7645719558388,1085.0023478878738,413.2933557225958,691.1433051165775,851.6062721091316,567.1060913814492,666.7364263398924,884.9276207488824,503.1691678730632,741.1539540682891,781.7127260734935,624.983861651509,668.860419931779,581.9791809827441,792.8980681147218,655.6342236090445,485.3312246779377,931.2128743998495,716.2824910952489,845.5530145778425,603.6955274494081,559.5043587376894,889.4969443892651,739.9320628361498,451.5728109966833,1068.2332178176632,388.71004056252144
Chifunde,994.8348348628095,979.3959483399215,770.3809518346413,1058.268784901798,1234.3568533672114,1157.4417890568664,691.0758837473558,1045.7444628787837,1261.9922028095007,859.0939828144695,849.2560994299204,677.5735903216571,992.6049354150203,659.666676374386,691.9383992422853,1208.8792020389474,1288.824880029774,962.6952444842328,1088.8414219147996,1007.765111237491,1202.532317704658,712.2152063345537,1057.477711032617,1117.9769613281137,730.6144496886728,1208.810782493926,1273.933778288313,1021.8609998319121,1200.4012082016752,1373.3442565584194,987.473226640632,1178.1176826248688,850.0800599326263,1137.2936424220704,1003.6053953783177,888.2996840730868,1392.758263510265,1001.9237240237987,1014.4349817379099,887.0693627484548,940.5445922757332,1318.6537556089536,1223.11374689274,755.3005697909701,1605.4809521786729,756.0132668501504
Chiuta,912.422442406075,898.3272908387839,698.3759401368474,1051.895812283554,1242.5506736707043,1027.273837736584,805.7795081964259,1009.3720678778942,1162.7307437986315,814.0380746801646,920.3852671652622,695.4160615676368,957.7241685680476,655.2671919336768,791.4872401528061,1087.8641773433178,1609.6443057361753,974.3748165626102,1138.1011423270324,1047.318388450729,1327.7507122456673,713.2295510428945,971.2766559242591,1149.7914944422726,708.3922410611549,1016.2831541109695,1068.3220637965085,739.1309046635728,1062.2735612300044,1288.994070797911,914.0234192698763,999.1611533074852,801.046780883266,1119.3405938116716,968.1323918895525,767.3561511306578,1313.5351150691217,983.4892769546939,1134.170407902743,886.8051298330661,865.9508162815278,1292.682944767056,1133.7244922488167,739.3588653219014,1556.37893936014,756.9583981371559
Cidade De Tete,635.1219145344224,665.5722771192623,477.8872282874903,731.8073213782884,901.8353155722215,708.3843781707798,518.680905430304,715.6514990701719,995.0562535564497,506.4588215223056,514.846252579551,395.76915968489925,732.7077721253328,417.0698115106428,643.2108692769341,756.3850169580093,1322.5485871512146,800.9267088686593,725.8695717666197,896.350780382784,1045.7349855047714,436.95904868327955,674.7756869930993,856.6137676436022,509.6127784138628,701.801715104215,801.468322504498,490.5299341727423,716.5366174374172,908.7426237944101,656.6136846339149,688.4870369604376,570.8626975896486,808.5372304796606,715.4336280849784,533.442528247881,1014.9572426109128,685.6221676287405,836.8672038070888,580.5646913692931,551.0407203212719,982.4564811404834,751.1656956209806,477.446717223702,1149.215570437089,468.94632634474146
Doa,707.9383219925076,781.6359801409094,594.5919679631343,870.9565135695991,1135.3324964430237,911.1805164717322,646.4341261978582,956.0230538930404,1180.4608506760292,590.6460486216604,700.0065077532516,608.1531931695959,805.1841827542462,591.6831604891246,714.7796104449794,925.8076417245447,1447.6712414375027,966.7290108291404,1009.4851264542493,992.5984647038046,1325.3097042157897,574.3227740844218,669.8628616481949,904.0774896848258,651.2583227201003,860.3321690496971,937.5364797680631,580.6784435579798,837.797977871769,981.2223380468082,837.8932641214177,884.2857801544117,836.6997476882146,805.704163324765,769.9878277696232,674.5743883459254,1068.6384182680933,984.0225087672549,1058.8815883499472,835.7659684254976,685.9658180444276,1015.6788850449038,947.0691524935103,551.815519649535,1321.8661102385227,449.1389580296129
Macanga,1063.1660576261993,1070.0602708442984,918.2800955714596,1194.320057089989,1301.8358965647194,1215.5374690378646,848.4774794292034,1156.366592579448,1244.6307412436852,949.1000108789019,1010.7069750184278,791.1349014111474,1113.2938519946454,798.2421134660381,753.683644795869,1255.4100833339585,1438.6777682766663,1001.2175330504698,1139.6646718627076,1132.1870591126428,1287.980261013608,897.7113088371992,1173.4433425852735,1335.7077140388283,754.3758647836179,1219.7388310502483,1241.5014800784147,874.4070795900724,1196.5900105519984,1423.6737601553639,996.0992528184538,1271.2643645458613,994.4558558817121,1175.5019669085755,1132.5448420846178,981.8017529050453,1480.1116023101595,1149.4771051555008,1246.6542861078487,976.0750300051823,1156.5285109641977,1551.0509527943832,1345.7290337144657,854.7219679687691,1752.115728405342,862.3538318502531
Magoe,898.2132335958964,786.2358276887136,661.7437366667957,662.3511288872585,1151.8437636529611,942.1642401224306,482.7704445544649,845.3369805063496,1124.2405095121262,762.8680104825871,646.1982143841863,587.9381654127766,797.1799871252039,619.3219914970407,562.0744640023227,846.1537741084137,1344.777247714429,790.194169639922,854.8860108925347,999.1516719254639,1015.4500951157886,490.1998081253369,765.0453953103847,813.903367676431,609.479256397481,760.9984200939102,963.6088814239425,712.3709387046663,1054.0174514220223,1052.4450608298516,655.7051838953129,694.9070160823715,684.1543626092366,830.3036913074658,857.4011763895298,570.5512903748087,1048.2265612474457,659.2454888976329,698.2352676043715,662.5916759649465,738.9904017979363,885.2754388328699,833.5022437038626,482.08575936354544,935.2648884800378,518.5044162282205
Marara,736.4617115023943,702.1449337976925,496.44767936595383,710.2137194416747,942.4760764087675,773.3077461559992,489.42538413916293,736.7476865955265,928.1944470141332,630.6152610220803,594.2028460111935,445.9572774782449,680.2176591548151,446.66198896963516,694.1685395360012,771.5874517313665,1290.68699398548,761.1393701163506,643.2604813786902,886.7284099714973,1064.8191939523028,445.91450481631176,734.0588917835709,871.3283454248021,556.5173521295203,694.1426868151409,835.283913488726,518.5043259488966,770.0477454840932,883.8920562877993,659.8569700271083,712.1396946923087,578.587740570229,817.6491003260655,769.5669305653853,498.29284980400683,1027.0399952252535,749.218260369002,831.1624412151887,604.3166022550034,569.2048215647328,975.4862035770382,749.6961009191976,501.81575218627523,1166.5359613672995,443.4298869327588
